Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,PasPress,Sw,PasCrs,CK,CkIn,CkOut,CkStr,PasGround,PasLow,PasHigh,PaswLeft,PaswRight,PaswHead,TI,PaswOther,PasCmp,PasOff,PasOut,PasInt,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Press,PresSucc,Press%,PresDef3rd,PresMid3rd,PresAtt3rd,Blocks,BlkSh,BlkShSv,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,DriSucc,DriAtt,DriSucc%,DriPast,DriMegs,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,RecTarg,Rec,Rec%,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%,date,Valuation,ToAtt,ToSuc,ToSuc%,ToTkl,ToTkl%
178,Ridle Baku,GER,DFFW,Wolfsburg,Bundesliga,24.0,1998,34,28,2446,27.2,0.11,1.36,0.29,21.6,0.08,0.38,20.0,0.0,0.0,0.0,37.5,48.8,76.7,712.7,251.6,15.4,18.3,84.3,16.7,20.8,80.2,5.0,8.24,60.7,0.18,1.43,2.46,1.29,0.48,4.41,48.8,40.8,8.05,0.74,0.07,6.29,1.4,2.5,0.18,0.04,0.0,0.0,28.6,10.2,10.0,6.58,32.6,1.62,7.13,0.11,37.5,0.15,0.77,1.88,1.69,2.68,2.1,0.11,0.22,0.11,0.15,0.0,0.26,0.18,0.0,0.0,0.04,0.04,0.0,2.32,1.25,1.1,0.88,0.33,0.81,2.24,36.1,1.43,18.8,5.59,29.8,6.18,7.61,4.96,2.46,0.04,0.0,2.43,1.47,3.79,1.84,0.04,62.7,2.13,17.7,28.6,20.0,2.5,55.0,1.25,2.5,50.0,1.32,0.18,38.9,186.0,108.6,5.88,1.18,0.59,1.29,1.43,44.6,37.3,83.6,4.15,0.15,0.0,0.0,1.25,1.4,0.37,2.5,1.25,0.0,0.0,0.0,8.16,1.1,1.4,44.1,2022-03-24,20000000.0,,,,,
181,Alejandro Balde,ESP,DFFW,Barcelona,La Liga,18.0,2003,5,2,188,2.1,0.0,0.48,0.0,0.0,0.0,0.0,21.6,0.0,0.0,0.0,66.7,72.4,92.1,1026.7,207.1,34.8,34.8,100.0,27.6,30.5,90.6,2.38,4.29,55.6,0.0,0.48,1.43,1.9,0.48,4.76,72.4,69.5,2.86,0.95,0.0,4.76,0.0,1.43,0.0,0.0,0.0,0.0,65.2,3.81,3.33,64.8,4.76,0.48,1.9,0.0,66.7,0.0,0.0,0.48,0.95,1.43,0.95,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.95,0.95,0.48,0.48,0.0,0.0,0.0,0.0,18.1,4.29,23.7,8.1,5.71,4.29,2.38,0.95,0.0,1.43,0.95,2.86,0.0,0.0,86.7,0.95,13.3,51.0,29.0,2.38,83.8,0.95,2.86,33.3,1.43,0.0,72.4,325.7,158.1,8.57,3.81,0.95,2.86,1.43,77.1,70.5,91.4,3.81,0.0,0.0,0.0,2.38,1.9,0.0,1.43,0.95,0.0,0.0,0.0,7.14,0.48,0.95,33.3,2021-12-30,5000000.0,,,,,
588,Tanguy Coulibaly,FRA,DFFW,Stuttgart,Bundesliga,21.0,2001,21,11,1079,12.0,0.0,1.08,0.25,23.1,0.0,0.0,16.3,0.0,0.0,0.0,21.6,28.3,76.2,319.3,70.1,12.6,14.8,84.8,7.67,10.3,74.8,0.92,1.67,55.0,0.08,0.58,0.83,0.42,0.08,1.25,28.3,24.5,3.83,0.08,0.0,7.17,0.33,1.08,0.0,0.0,0.0,0.0,20.0,5.67,2.67,20.3,3.33,0.83,3.17,0.17,21.6,0.08,0.42,1.42,1.67,1.75,1.08,0.0,0.25,0.0,0.25,0.17,0.08,0.08,0.0,0.0,0.0,0.0,0.0,2.17,1.08,1.33,0.83,0.0,0.83,1.5,55.6,0.67,21.3,4.75,22.4,6.42,8.67,6.17,1.67,0.25,0.0,1.42,0.58,2.75,0.67,0.0,42.2,0.83,8.58,18.3,18.1,2.58,38.3,1.58,3.58,44.2,1.92,0.25,30.4,139.6,76.2,3.75,1.08,0.67,3.33,1.58,39.7,26.8,67.6,5.58,0.67,0.0,0.0,2.08,1.42,0.5,1.08,1.08,0.0,0.0,0.0,5.75,0.92,1.42,39.3,2021-12-22,4500000.0,,,,,
858,Mohamed Fares,ALG,DFFW,Genoa,Serie A,26.0,1996,9,6,587,6.5,0.31,2.0,0.46,23.1,0.15,0.67,12.9,0.0,0.0,0.0,27.4,39.7,69.0,511.7,208.0,14.5,17.4,83.2,8.0,12.0,66.7,4.77,8.31,57.4,0.15,0.77,1.54,1.69,0.92,3.85,39.7,32.2,7.54,0.77,0.0,7.23,2.15,2.92,0.0,0.0,0.0,0.0,19.8,10.0,9.85,26.9,3.54,1.38,6.77,0.15,27.4,0.77,0.46,1.54,2.31,2.62,1.85,0.31,0.0,0.46,0.0,0.0,0.46,0.46,0.0,0.0,0.0,0.0,0.0,1.54,0.62,0.46,1.08,0.0,0.46,1.08,42.9,0.62,12.8,3.85,30.1,4.62,5.54,2.62,1.69,0.46,0.0,1.23,2.46,4.0,0.77,0.0,52.9,1.69,14.8,22.6,18.8,2.31,45.4,1.08,2.46,43.8,1.23,0.15,30.2,143.4,78.8,3.85,1.23,0.0,1.23,1.38,36.2,30.0,83.0,2.15,0.31,0.0,0.0,1.85,1.23,0.0,2.92,0.62,0.0,0.0,0.0,7.54,1.85,2.46,42.9,2022-03-15,4500000.0,,,,,
878,Edimilson Fernandes,SUI,DFFW,Arminia,Bundesliga,26.0,1996,7,2,283,3.1,0.0,1.29,0.65,50.0,0.0,0.0,43.7,0.0,0.0,0.0,30.0,40.0,75.0,548.4,210.6,15.2,16.5,92.2,10.3,13.5,76.2,3.87,7.1,54.5,0.0,1.94,1.94,2.26,0.97,4.52,40.0,38.1,1.94,0.32,0.0,10.3,1.61,2.58,0.97,0.0,0.32,0.0,25.8,5.48,8.71,4.19,32.6,1.29,0.65,0.32,30.0,0.0,0.65,0.0,1.94,3.23,2.9,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.97,0.0,0.65,0.32,0.32,1.29,25.0,0.97,15.8,5.48,34.7,4.52,8.06,3.23,1.29,0.65,0.32,0.65,0.65,1.61,1.94,0.0,49.7,3.87,7.74,21.9,22.9,2.58,48.1,0.97,1.61,60.0,0.97,0.32,35.8,160.3,73.9,3.23,1.29,0.32,0.65,2.9,38.7,32.3,83.3,2.9,0.0,0.0,0.0,0.97,0.65,0.0,2.58,0.97,0.0,0.0,0.0,10.0,1.29,0.97,57.1,2021-12-22,2800000.0,,,,,
899,Alessandro Florenzi,ITA,DFFW,Milan,Serie A,31.0,1991,24,12,1152,12.8,0.16,1.72,0.47,27.3,0.09,0.33,24.0,0.16,0.0,0.0,50.8,62.9,80.7,1022.3,352.6,18.0,19.3,93.1,23.4,25.9,90.3,8.2,14.8,55.3,0.0,0.94,4.53,2.19,0.63,4.92,62.9,53.5,9.38,1.72,0.08,4.84,2.81,2.42,1.33,0.63,0.39,0.08,35.5,12.7,14.6,3.36,50.8,1.17,6.33,0.39,50.8,0.31,0.7,1.41,1.48,2.58,2.03,0.39,0.0,0.0,0.08,0.08,0.08,0.08,0.0,0.0,0.0,0.0,0.0,2.19,1.25,0.86,0.78,0.55,0.7,2.42,29.0,1.72,14.7,4.45,30.3,5.55,6.8,2.34,1.25,0.16,0.0,1.09,2.58,4.77,1.17,0.16,72.1,2.5,20.2,38.5,18.4,1.48,62.8,0.55,0.86,63.6,0.63,0.08,44.1,221.3,127.7,5.78,1.8,0.31,0.39,0.31,49.7,45.7,92.0,2.27,0.16,0.0,0.0,0.86,0.63,0.23,2.42,1.25,0.0,0.0,0.0,8.91,1.02,0.78,56.5,2021-12-28,7000000.0,,,,,
924,Gianluca Frabotta,ITA,DFFW,Hellas Verona,Serie A,22.0,1999,2,0,20,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,45.0,44.4,255.0,210.0,5.0,20.0,25.0,10.0,20.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,10.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,15.0,30.0,5.0,10.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,15.0,50.0,5.0,25.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,50.0,5.0,10.0,25.0,25.0,5.0,50.0,0.0,0.0,0.0,0.0,0.0,30.0,425.0,315.0,5.0,5.0,0.0,0.0,0.0,25.0,25.0,100.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,5.0,0.0,2021-12-28,2500000.0,,,,,
1180,Patrick Herrmann,GER,DFFW,M'Gladbach,Bundesliga,31.0,1991,23,5,754,8.4,0.0,1.79,0.48,26.7,0.0,0.0,15.3,0.12,0.0,0.0,31.3,44.3,70.7,585.6,209.6,15.8,19.6,80.6,10.6,13.5,78.8,4.52,9.52,47.5,0.48,2.14,1.07,1.43,0.48,3.69,44.3,34.8,9.52,2.26,0.24,7.86,2.14,3.69,2.62,1.19,1.07,0.24,24.3,8.45,11.5,3.21,35.2,0.95,4.64,0.0,31.3,0.12,0.48,2.38,2.14,3.45,2.14,1.07,0.12,0.12,0.0,0.0,0.71,0.6,0.12,0.0,0.0,0.0,0.0,2.02,0.83,0.6,0.95,0.48,1.19,2.98,40.0,1.79,16.0,5.24,32.8,3.93,7.26,4.76,1.43,0.12,0.0,1.31,0.95,2.98,0.95,0.0,55.4,1.67,9.88,20.5,28.5,3.69,46.1,1.07,1.55,69.2,1.07,0.0,32.3,153.5,84.9,4.4,1.31,0.71,1.67,1.55,40.4,32.7,81.1,6.07,0.12,0.0,0.0,0.95,1.31,0.48,3.69,0.83,0.0,0.0,0.0,7.14,0.36,0.83,30.0,2021-12-22,2500000.0,,,,,
1260,Ismail Jakobs,GER,DFFW,Monaco,Ligue 1,22.0,1999,28,10,1203,13.4,0.0,0.37,0.07,20.0,0.0,0.0,13.6,0.0,0.0,0.0,48.5,68.2,71.1,824.9,314.2,25.1,28.5,88.2,19.0,25.6,74.1,3.96,11.2,35.3,0.07,1.27,3.36,2.16,1.19,5.75,68.2,57.1,11.1,0.9,0.0,9.7,1.87,4.78,0.6,0.37,0.0,0.07,38.2,12.9,17.1,49.4,4.03,2.46,9.63,0.37,48.5,0.52,1.49,2.61,2.31,2.39,2.01,0.22,0.15,0.0,0.0,0.0,0.22,0.15,0.07,0.0,0.0,0.0,0.0,2.84,1.64,1.27,1.27,0.3,1.12,2.31,48.4,1.19,15.6,5.6,35.9,5.67,5.82,4.1,1.57,0.15,0.0,1.42,1.87,4.7,2.76,0.0,79.3,3.21,18.4,37.3,28.7,1.64,68.4,0.37,0.82,45.5,0.45,0.15,43.4,230.9,131.0,6.94,2.24,0.3,0.9,0.75,55.3,47.9,86.6,3.58,0.07,0.0,0.0,1.27,0.67,0.07,4.78,1.64,0.0,0.07,0.0,9.78,3.13,1.04,75.0,2022-05-30,7000000.0,,,,,
1274,Dennis Jastrzembski,POL,DFFW,Hertha BSC,Bundesliga,22.0,2000,8,1,225,2.5,0.0,0.4,0.0,0.0,0.0,0.0,16.5,0.0,0.0,0.0,27.6,42.8,64.5,522.0,176.8,12.4,16.4,75.6,10.8,18.4,58.7,4.0,6.8,58.8,0.0,1.6,1.2,0.8,0.0,2.4,42.8,30.0,12.8,0.4,0.0,4.4,1.2,3.2,1.6,0.8,0.4,0.0,22.0,9.6,11.2,23.6,5.2,1.6,10.8,0.8,27.6,0.0,0.0,4.4,0.4,2.0,1.6,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.4,0.4,0.0,0.8,2.4,33.3,1.6,18.4,5.2,28.3,7.2,7.2,4.0,1.2,0.0,0.0,1.2,0.8,1.6,1.6,0.0,54.4,1.6,14.4,24.0,21.6,2.8,42.0,2.0,4.4,45.5,2.0,0.0,31.6,176.0,74.4,4.0,1.2,2.4,2.0,2.4,38.0,28.8,75.8,5.6,0.4,0.0,0.0,1.2,1.6,0.0,3.2,0.8,0.0,0.0,0.0,8.4,1.6,0.8,66.7,2021-12-22,1000000.0,,,,,
1471,Tariq Lamptey,ENG,DFFW,Brighton,Premier League,21.0,2000,30,16,1561,17.3,0.0,1.1,0.23,21.1,0.0,0.0,19.5,0.0,0.0,0.0,35.1,45.5,77.1,529.2,120.8,19.7,22.4,87.9,13.0,16.4,79.5,1.56,3.87,40.3,0.12,1.21,1.04,1.21,0.81,2.49,45.5,41.3,4.16,0.29,0.06,6.53,0.58,4.16,0.0,0.0,0.0,0.0,31.0,7.51,6.99,8.96,31.0,1.1,3.87,0.12,35.1,0.12,0.75,1.16,2.14,2.72,1.91,0.0,0.23,0.17,0.23,0.17,0.12,0.12,0.0,0.0,0.0,0.0,0.0,2.2,1.33,0.87,1.04,0.29,0.81,1.5,53.8,0.69,14.2,4.28,30.2,4.51,5.55,4.1,1.27,0.23,0.0,1.04,2.14,4.34,1.1,0.0,60.3,2.37,13.1,23.2,29.4,2.6,56.2,1.62,3.47,46.7,1.68,0.0,44.0,261.0,165.7,9.31,2.02,1.04,1.79,1.45,51.3,41.2,80.4,4.39,0.23,0.0,0.0,1.79,3.12,0.17,4.16,1.33,0.0,0.0,0.0,6.99,0.52,1.85,22.0,2021-12-23,18000000.0,,,,,
1584,Levi Lumeka,ENG,DFFW,Troyes,Ligue 1,23.0,1998,5,0,67,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,24.3,58.8,254.3,35.7,7.14,8.57,83.3,2.86,8.57,33.3,2.86,5.71,50.0,0.0,0.0,2.86,1.43,1.43,0.0,24.3,22.9,1.43,0.0,0.0,7.14,0.0,4.29,0.0,0.0,0.0,0.0,17.1,2.86,4.29,4.29,18.6,0.0,1.43,0.0,14.3,0.0,0.0,4.29,1.43,1.43,0.0,0.0,0.0,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.6,5.71,14.8,14.3,18.6,5.71,0.0,0.0,0.0,0.0,0.0,0.0,2.86,0.0,32.9,1.43,12.9,8.57,14.3,2.86,31.4,4.29,4.29,100.0,4.29,0.0,30.0,170.0,80.0,2.86,1.43,1.43,2.86,0.0,57.1,22.9,40.0,7.14,0.0,0.0,0.0,2.86,1.43,2.86,4.29,0.0,0.0,0.0,0.0,1.43,0.0,2.86,0.0,2022-04-01,450000.0,,,,,
1591,Yannis M'Bemba,FRA,DFFW,Nantes,Ligue 1,20.0,2001,2,0,5,0.1,0.0,20.0,10.0,50.0,0.0,0.0,10.0,0.0,0.0,0.0,40.0,50.0,80.0,620.0,130.0,30.0,30.0,100.0,0.0,0.0,0.0,10.0,20.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,40.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,10.0,0.0,50.0,0.0,0.0,0.0,40.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,100.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,30.0,10.0,40.0,20.0,70.0,0.0,0.0,0.0,0.0,0.0,50.0,110.0,30.0,0.0,0.0,0.0,10.0,0.0,50.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,0.0,100.0,2022-05-30,200000.0,,,,,
1657,Solly March,ENG,DFFW,Brighton,Premier League,27.0,1994,31,17,1746,19.4,0.0,1.08,0.52,47.6,0.0,0.0,17.3,0.1,0.0,0.0,28.5,39.5,72.2,540.2,144.4,13.8,16.8,82.5,10.0,13.5,74.0,4.02,7.16,56.1,0.1,1.8,1.44,1.7,0.52,2.84,39.5,35.1,4.43,0.72,0.05,6.86,2.53,3.25,1.8,0.52,0.93,0.05,25.3,5.15,9.07,31.6,3.51,1.44,1.8,0.21,28.5,0.0,0.57,1.86,1.91,3.45,2.11,0.72,0.36,0.0,0.15,0.1,0.21,0.15,0.0,0.0,0.0,0.05,0.0,1.96,1.13,0.77,0.46,0.72,0.46,1.24,37.5,0.77,13.4,3.71,27.7,3.66,4.23,5.52,1.7,0.21,0.0,1.49,1.6,3.56,1.19,0.0,50.8,2.22,8.51,17.7,27.7,4.02,46.4,1.29,2.27,56.8,1.29,0.05,34.7,218.6,121.7,6.49,1.08,1.24,1.19,1.65,42.7,32.6,76.2,4.18,0.05,0.0,0.0,1.8,1.19,0.62,3.25,1.13,0.0,0.0,0.0,6.65,1.13,1.96,36.7,2021-12-23,9000000.0,,,,,
1698,Roberto Massimo,GER,DFFW,Stuttgart,Bundesliga,21.0,2000,19,11,877,9.7,0.21,2.06,1.13,55.0,0.1,0.18,18.4,0.0,0.0,0.0,23.2,30.9,75.0,374.0,94.5,11.2,13.5,83.2,9.28,10.5,88.2,1.65,3.81,43.2,0.0,1.03,0.72,0.41,0.21,2.06,30.9,25.9,5.05,0.1,0.0,6.7,0.41,1.65,0.0,0.0,0.0,0.0,19.8,6.08,5.05,3.61,20.7,1.24,4.54,0.31,23.2,0.0,0.52,1.55,1.34,1.96,1.34,0.0,0.31,0.31,0.0,0.0,0.21,0.0,0.0,0.1,0.1,0.0,0.0,1.24,1.13,0.72,0.41,0.1,0.52,1.55,33.3,1.03,19.0,4.95,26.1,5.98,7.53,5.46,1.13,0.0,0.0,1.13,1.24,2.47,0.62,0.0,44.3,0.62,9.59,20.0,18.2,3.3,39.5,1.55,3.81,40.5,1.96,0.21,29.5,158.4,90.2,4.23,1.24,0.93,2.37,1.96,40.0,28.2,70.6,5.88,0.0,0.0,0.0,0.93,0.72,0.41,1.65,1.13,0.0,0.0,0.0,5.67,0.62,1.34,31.6,2021-12-22,3000000.0,,,,,
1699,Arthur Masuaku,COD,DFFW,West Ham,Premier League,28.0,1993,13,6,650,7.2,0.14,0.56,0.14,25.0,0.25,1.0,26.6,0.0,0.0,0.0,40.7,52.1,78.1,643.6,217.6,22.6,25.3,89.6,15.7,20.1,77.9,2.08,5.69,36.6,0.14,0.42,3.06,0.83,0.28,3.33,52.1,46.3,5.83,0.56,0.0,7.5,0.69,2.78,0.0,0.0,0.0,0.0,36.0,8.06,8.06,41.5,1.81,2.36,5.28,0.14,40.7,0.28,1.53,2.08,1.25,0.83,0.56,0.28,0.0,0.0,0.0,0.0,0.28,0.14,0.14,0.0,0.0,0.0,0.0,4.58,2.64,2.78,1.53,0.28,1.67,3.19,52.2,1.53,16.7,5.42,32.5,8.47,6.94,1.25,1.39,0.14,0.0,1.25,2.5,7.08,2.22,0.0,66.0,4.17,20.3,25.8,22.8,1.25,60.3,0.69,1.11,62.5,0.69,0.14,41.7,168.6,95.0,4.86,1.11,0.56,1.25,1.25,41.0,37.5,91.5,1.53,0.14,0.0,0.0,1.11,0.56,0.0,2.78,2.64,0.0,0.0,0.0,10.3,1.81,1.25,59.1,2021-12-23,5000000.0,,,,,
